title,content,category,sports,thumbnail,is_featured,news_views
Former Chelsea manager not offered himself to Barca as Xavi successor,The Barcelona managerial situation has been the subject of speculation ever since Xavi Hernandez announced that he would be stepping down as head coach at the end of the season. Club bosses won't rush into making a decision although there has been plen,exclusive,football,https://www.fcbarcelona.com/photo-resources/2025/05/21/a8784d04-590a-439d-a04f-be40926acaeb/SET_Jugadors.jpg?width=1200&height=750,True,500
Akram Afif is the first ever player to score a hat-trick in the Asian Cup final,Akram Afif is the first ever player to score a hat-trick in the Asian Cup final. He scored three penalties against Jordan to help Qatar win back-to-back Asian Cups and take his tally to eight for the tournament winning himself the Golden Boot. In d,exclusive,football,https://akcdn.detik.net.id/community/media/visual/2024/02/11/akram-afif-3_169.jpeg?w=600&q=90,False,20
Neville says Man Utd were 'NAIVE' not to have a sporting director for 10 years,Manchester United legend Gary Neville has called his former club 'naÃ¯ve' after years of operating w,update,football,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/TRA2YHHNXRO2HFIVTEFB4KPQWI.jpg,False,25
Everything we've got on our radar this week: The adidas Predator Mania boots and unmissable collabs,Here at GOAL our team of writers editors and creatives see a flurry of new product launches re-re,update,football,https://www.soccerbible.com/media/136465/mania-1-min.jpg,True,200
Mwepu prays for injury-free season with Brighton & Hove Albion in Premier League,Zambia international Enock Mwepu is hoping to head into the new Premier League season with Brighton,match,football,https://e0.365dm.com/22/10/2048x1152/skysports-mwepu-brighton_5926730.jpg?20221010100026,False,40
'Tuchel opened my eyes' - Mainz boss Svensson praises Chelsea manager's influence,Mainz coach Bo Svensson has explained how Thomas Tuchel influenced his career and said the Chelsea b,match,football,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcShK7BiPBVEKiISZxfbTBwvf56KRoK1kKcXIb51khn-BG30fo0f7-59hqPZGl_T-0D5Nx9yHW-UA2PMeSzXOeb8XWvfQw-JvXjNOuVoBqU,False,55
Robertson fires 'scary' warning to Premier League rivals as he says Luis Diaz 'will get better',Andy Robertson has warned Liverpool's Premier League and European rivals that a "scary" Luis Diaz wi,analysis,football,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQIiLm6MwzG5O9Co4Ls2ivfo7G5UHOZx1suSsD8lK_7FUrL5Hi7UlSdGQz0aT9UxdCjTpv52FEqqlRSCCo,True,300
David Alaba scores a stunning free-kick with his first touch to give Real Madrid victory on o,WHAT HAPPENED? Real Madrid were awarded a free-kick which the Austrian international stepped up to t,analysis,football,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQm17gU1MRldOKqquUyZw5jZLMsxdJcxOG9XOVNuIKad4ghvP35zH939ZtJVlEtXYbsx-j7Rxkbf-hvxLg,True,553
Benzema? Modric? Marcelo speculates on who could break his record of 25 trophies at Real Madrid,Marcelo has bid farewell at Real Madrid after 15 memorable years with the long-serving Brazilian fu,rumor,football,https://imgresizer.tntsports.io/unsafe/2400x1260/filters:format(jpeg):focal(1247x463:1249x461)/origin-imgresizer.tntsports.io/2022/06/13/3392377-69327808-2560-1440.jpg,False,12
Alexander-Arnold vs Vinicius: The tactical battle that will define the Champions League final,A cursory glance at the predicted line-ups for Saturday’s Champions League final is all it takes to,rumor,football,https://akcdn.detik.net.id/community/media/visual/2022/05/27/1311257851_169.jpeg?w=600&q=90,True,633
'Dybala or Lukaku? I can't decide' - Moratti on Inter's summer transfer plans,Former Inter president Massimo Moratti says the Nerazzurri need to sign a striker this summer - but,rumor,football,https://assets.goal.com/images/v3/blt6bc63132e177b804/5ddf84e401019af74f71beba1f1964bdf56b4086.jpg?auto=webp&format=pjpg&width=3840&quality=60,False,2
Ikpeba believes Manchester United's Ronaldo signing was mistake and he should leave,Ex-Nigeria international Victor Ikpeba believes the return of Cristiano Ronaldo to Premier League si,rumor,football,https://www.asmonaco.com/wp-content/uploads/2021/06/victor-ikpeba-as-monaco-fc-edgar-davids-juventus-1998.jpg,False,34
