title,content,sports,category,is_featured,news_views,thumbnail
Ghana captain Andre Ayew sides with Asamoah Gyan on Suarez incident at 2010 World Cup,"Ghana skipper Andre Ayew says he could have acted in a similar manner as Luis Suarez when the Uruguay striker kept out a goal-bound header with his hands to deny the Black Stars a spot in the semi-final at the 2010 World Cup in South Africa. His comments follow similar remarks by legendary Ghana forward Asamoah Gyan, who was at the heart of events as Ghana bowed out of the global showpiece in the quarter-final fixture in Johannesburg.  Talks about the famous incident have been revived after the two nations have been pitted together in the same group for the 2022 World Cup later in Qatar this year. “Like I said before in the past, maybe if it was me or someone else, I could have done the same action [as Suarez],” Al-Sadd winger Ayew told Joy Sports.  “It’s true he killed us, he killed our dream, he killed Africans’ dream, and we all have that feeling that he didn’t make us the first [African] country to get to the semi-finals, so that will always be there. “But he did it for his nation, he took a decision but we don’t [have to] look at that. We want to play well and try and succeed [in Qatar].” In the clash at Soccer City Stadium, Ghana found a last-gasp opportunity to score the winner in extra time when Dominic Adiyiah headed on target, but Suarez produced a goal-line clearance with his hands, copping a red card and winning Ghana a penalty, which Gyan spurned.  In the ensuing penalty shoot-out, there was even more heartbreak for Ghana as they lost on a 4-2 score, making former Liverpool man Suarez a national hero back home. Ex-Sunderland striker Gyan spoke on the incident on Monday, saying: “I remember a game between Sunderland and Liverpool [when I was playing in the Premier League]. We were playing at home on that day and all players were shaking hands.  “I wanted to hit him [Suarez] because people had said things that stuck in my mind. “I was naïve at that time but when I thought about it later, I realized that I had to let it go because I would have done the same thing if I was in his position.” Ghana and Uruguay will lock horns on December 2 in what will be their first meeting after the 2010 incident. ",Football,Match,False,11060,https://assets.goal.com/images/v3/blt9ab75ae175c26fa8/EPL%20storylines%20to%20track.jpg?auto=webp&format=pjpg&width=640&quality=60
Mexico's route to the World Cup final: How El Tri can go all the way in Qatar 2022,"Mexico are World Cup tournament regulars and will be looking to create a piece of national team history at Qatar 2022. El Tri's only previous appearances in the quarter-finals came when they hosted the tournament in 1970 and 1986, and they are yet to get beyond the last-16 stage in a World Cup on overseas soil. What will Mexico need to do to become world champions for the first time? GOAL takes a look at Mexico's potential routes to the final, which takes place in Qatar on December 18. Opponent Date Venue Poland November 22  Argentina November 26  Saudi Arabia November 30  If Mexico finish as winners in Group C, then they will face the runners-up from Group D, which contains France, UAE/Australia/Peru, Denmark and Tunisia.  If Mexico finish as runners-up in Group C, then they will meet the winners of Group D. If El Tri make it to the last eight, they will meet a team from either Group A or Group B, pairing them with Qatar, Ecuador, Senegal, Netherlands, England, Iran, United States or Wales/Scotland/Ukraine. The semi-finals will pair them with a team from either Group E - Spain, New Zealand/Costa Rica, Germany or Japan, F - Belgium, Canada, Morocco or Croatia, G - Brazil, Serbia, Switzerland or Cameroon, or H - Portugal, Ghana, Uruguay or South Korea.  Make it to the final and Mexico could face any team depending on which route they take from the group stage. How far do you think Mexico will go in the World Cup? Let us know in the comments! 👇",Football,Rumor,False,2260,https://assets.goal.com/images/v3/blt4e2e712a61b4a7f2/Harry%20Kane.jpg?auto=webp&format=pjpg&width=640&quality=60
Ten Hag: This is just the start of Sancho's greatness at Man Utd,"WHAT HAPPENED? The Manchester United manager has watched Sancho score crucial goals against Liverpool and Leicester during his side's recent winning run - but he believes there is much more to come from the former Borussia Dortmund star.  WHAT THEY SAID: ""He has to invest in the physical [growth] and that is what he did,"" Ten Hag said. ""Now he can get the rewards and I'm sure it's the start for him. There's much more room for improvement ... [but] I think he can [become prolific]. He has the capabilities and he did it also in a different league. The intensity is higher so he has to adapt to that."" THE BIGGER PICTURE: United have performed a remarkable turnaround after losing their opening two games of the season to Brighton and Brentford. They are now up to fifth after winning three straight league games for the first time since December last year.  IN THREE PHOTOS: WHAT NEXT FOR UNITED? Arsenal travel to Old Trafford on Sunday, looking to extended their 100 per cent record at the start of the season. It will be a major test as to just how far Manchester United have come in a short space of time. ",Football,Update,False,29804,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFAS87Im7-jSx2oJhvepJekiIPjdekHGkBEQ&s
Arsenal star Saka becomes latest footballer to appear on GQ cover,"Arsenal star Bukayo Saka has become the latest footballer to grace the cover of GQ Style, with the 20-year-old winger discussing food, fashion and music alongside his rise to prominence and the best opponent he has faced. A home-grown product of the Gunners’ academy has enjoyed a meteoric rise to prominence, with remarkable progress allowing him to make more than 120 appearances at club level while also earning 14 senior caps for England. He is now following in the footsteps of David Beckham and Mohamed Salah by adorning the front page of the men’s style magazine. Saka, who made his competitive debut for Arsenal in November 2018 and England bow in September 2020, told GQ Style: “Our coach would always say – even when we were young – he would look at the group and say, ‘only one or two of you is going to make it,’. “We would all look at each other because we were all so good, we were unbeaten, and everyone was baffled, like, who’s it going to be?” Bukayo Saka. Arsenal's starboy 🌟 pic.twitter.com/lPtUDNJdeA After defying the odds to become a professional superstar, Saka now finds himself lining up against some of the best players on the planet. He has locked horns with many all-time greats, but considers a World Cup winner at Barcelona to be the finest he has faced. Saka said: “Sergio Busquets, the way he just so elegantly turned me! [in a pre-season friendly in August 2019]. “I came at him to press him, I tried to fake this side then go to the other, and the way he just embarrassed me: I was just like, yeah, this guy is elite.” While holding his own among the global elite, Saka has scored 21 goals for Arsenal and four for his country. He boasts some spectacular strikes within that collection, but considers an iconic effort from seven-time Ballon d’Or winner Lionel Messi to be the greatest he has ever seen. Saka said: “I think I would say Leo Messi’s goal in the Copa del Rey final against Athletic Club. The one where he dribbled everyone. Now that I play, I can see how hard it is to score that goal.”",Football,Exclusive,False,40348,https://assets.goal.com/images/v3/bltcb8a032bae0ca3d3/goal---web-two-way-split--12326361-add3-4419-9451-ed8ccc3acf4a.png?auto=webp&format=pjpg&width=3840&quality=60
Barcelona 'on the right track' to register new transfers says Liga chief Tebas,"From Robert Lewandowski to Raphinha, Barcelona have conducted an eye-catching summer of spending - a surprising splurge given the club's well-documented financial concerns. Also causing concern is La Liga's stringent rules on player registration, leaving many to wonder how new boys including Andreas Christensen, Franck Kessie and more will be able to play for Barca in 2022-23. However Liga chief Javier Tebas says he has been assured Barca will sort both their financial and registration concerns out to have their new players available - although whether this will be before their opening Liga game against Rayo Vallecano on August 13 remains to be seen. Tebas told Sport: ""They know what they have to do. I think that they still have a bit of work to do but they are on the right track. “Ask FC Barcelona. I can say that they know the rules well and they are well aware of what they have to do. They still need to do it, but there is still some time.” When pressed for details as to how Barca will be able to register so many expensive new signings while meeting Liga's strict salary caps, Tebas said creative sales of their broadcast rights had played a part. “They have sold 10 per cent of their TV rights for €207m. Then they increased that share to 25% which I think gives them some €350m more,"" he said. ""That would be €500m and I think they have another, third lever that of around €200m. With that and if they manage to get some players to leave, this explains the possibility of these signings. “They have been able to sell assets, which was something they needed to do, and to reduce salaries – that’s what allows them to sign.” The biggest signings have been Raphinha from Leeds for around €58 million, and Lewandowski from Bayern for a reported €45m. Christensen and Kessie have also arrived on free transfers from Chelsea and Milan respectively. Barca's spending is not expected to stop there, with a deal for Sevilla defender Jules Kounde imminent and a move for Chelsea captain Cesar Azpilicueta also touted.",Football,Exclusive,False,140,https://assets.goal.com/images/v3/blt27037a8854f6911d/Ballon%20d_Or%20Power%20Rankings_2_1.jpg?auto=webp&format=pjpg&quality=50
Does Haaland's signing hint at Guardiola changing Man City's philosophy?,"On the face of it, Pep Guardiola and Erling Haaland are not a natural fit. One is razor-edged with an almost binary understanding of football: score goals in the quickest and most straight-lined way possible. The other is a man of detail and nuance on a scale the sport has arguably never seen before; a tactician who demands the ball is moved around in meticulous patterns long before thoughts turn to sticking it in the net. On a basic level, Haaland is a man of attacking transitions and penalty-box poaching with a relatively limited ability outside traditional centre-forward areas, while Guardiola demands the exact opposite of his number nines. But that is only one reading. Deeper tactical analysis suggests that Haaland can adapt to Guardiola and Guardiola can adapt to Haaland. The two ideas can fuse to make both player and club more lethal. The critique that Haaland does not fit the false-nine stylings of City through 2021-22 is redundant. Guardiola never wanted to be playing like this (hence his long pursuit of Harry Kane last summer) and with good reason. Manchester City can be guilty of playing too slowly, particularly when faced with a stubborn defensive blockade. With a false nine adding yet more bodies into central attacking midfield,, they have been playing too much in front of the opposition, particularly in matches where they have dropped points against Southampton, Crystal Palace and Tottenham. They need someone like Haaland to make hyper-intelligent movements in the penalty area. These will be useful when the box is crowded and City are 25 yards from goal; after a high turnover when the opponent is briefly stretched; and when City finally work the ball behind the defence at a tight angle, ready to find a cut back. In other words, City often have too many players doing the same thing in the No.10 space, and it is noteworthy that Sergio Aguero was able to excel under Guardiola despite never fully learning how to link the play or press aggressively. There are more than enough City players swarming the opponent to allow Haaland to drift in and out a little. Since Leroy Sane’s departure, City have badly missed his capacity to break in behind a deep defence, and in Haaland they have signed the world’s best player at timing those kinds of runs. What’s more, that movement – likely to lead to many tap-ins at the end of long City passing chains – will draw defences out of their compressed shape, helping others get into creative positions. It is equally important to remember that, despite popular belief, Guardiola is not a dogmatic coach with one specific way of playing. His Barcelona, Bayern Munich, and Man City teams have played in subtly different ways to each other, as Guardiola adapts his strategy to the demands of the country’s league and to the style of player at his disposal. Famously in his first few months as Bayern manager, Guardiola chastised his players for playing lots of short passes to each other. They had assumed that was what their manager wanted. Instead, he told them to play like Bayern; like a German team. To take a more recent example, there is nothing about the way Kevin De Bruyne plays – driving forward, angling risky passes into the penalty area, shooting from range – that conforms to the supposed Guardiolaisms. This is because while Guardiola has very specific ideas about positional play and where to pass, this is only the case up until the final third - when players are then given the freedom to improvise and work out their own patterns. Consequently, City will adapt to Haaland. The creative players in the team will love seeing those runs and will feed Haaland the ball as often as they can. They will work the ball in new ways because, at last, they will have the option to release someone through on goal. De Bruyne and Bernardo Silva in particular will shift City’s playing style just enough to accomodate the 21-year-old. But Haaland, of course, will have to meet them half way. He has been steadily improving his game outside the box over the last few years, recording better numbers in terms of passing, linking the play, and pressing from the front. And yet on most of these measures, he still ranks poorly against other strikers. FBRef’s report comparing Haaland to all forwards in the ‘Big Five’ leagues over the last 365 days (across all competitions) has him in the 44th percentile for passes completed; the 38th percentile for short passes completed; the 24th percentile for pressures; and the 36th percentile for touches. Haaland, though, will not need to become as adept as Phil Foden in deeper areas to work in a Guardiola team. A lot of the high turnovers Man City achieve from their hard pressing, for example, can be done by others – to then release Haaland in behind. But he does need to do a lot better than he has been doing over the last two years, even accounting for the different tactical demands at Borussia Dortmund. Guardiola clearly anticipates that a young and intelligent player like Haaland has the capacity to adapt his game and learn the ropes. Most likely, the Norway international will do just that, and yet it is curious to note Guardiola has recently developed a habit of chasing star players who do not instinctively fit his philosophy. First it was Jack Grealish, then a late attempt to sign Cristiano Ronaldo at the end of August, and now City have signed Haaland shortly after their interest in Paul Pogba was recently made public. It begs the question: does Guardiola want players like Haaland to adapt to his methods, or is there a whole new Guardiola methodology on the horizon?",Football,Rumor,False,32061,https://assets.goal.com/images/v3/blt14dd1e85f6bef8e5/GOAL_-_Multiple_Images_-_3_Stacked_-_Facebook_-_2023-11-27T113434.317.jpg?auto=webp&format=pjpg&width=3840&quality=60
Juventus CEO confirms Vlahovic transfer affected Dybala extension talks as Argentine set to leave,"Dusan Vlahovic's arrival at Juventus has played a key role in the club's decision against renewing Paulo Dybala's contract, says CEO Maurizio Arrivabene. The Argentina international had been in talks with the Serie A side over a new deal, but will instead depart the club for free at the end of the season. The January signing of Vlahovic from Fiorentina has changed the club's plans for the coming years, Arrivabene said, resulting in the decision to let Dybala's contract expire. He told reporters: ""It was a friendly, clear and respectful meeting. We had a very sincere approach.  ""With the arrival of Vlahovic, Paulo was no longer at the centre of the project and we made this decision.  ""The arrival of Dusan changed the position. The technical structure of the team and the Juventus project has undergone some changes.  ""Part of these changes concern Dybala's contract, which has not been renewed."" Juventus previously offered Dybala a contract in October and were set to reduce the salary they were willing to pay him even further before deciding not to renew his deal. ""It would not have been easy for Juventus to make a lower offer,"" he said.  ""Paulo spent seven years of his career with us, an offer of that kind would not have shown the respect that there is towards him. No one has ever questioned Dybala's technical prowess.  ""The parameters in October were different. There were considerations to be made on attendance, on the length of the contract and others of an economic nature.  ""It is important to underline that the management does not take decisions against Juventus, but in favor of the club."" Dybala, 28, joined Juventus from Palermo in 2015 and has won five Serie A titles and the Coppa Italia four times with the club. He has made 283 appearances overall, scoring 113 times. This season, he has played 29 times in all competitions and scored 13 goals.",Football,Analysis,False,8282,https://assets.goal.com/images/v3/blt02cb27e38bef34f7/GOAL_-_Blank_WEB_-_Facebook_-_2023-09-17T154922.062.jpg
Chelsea make contact with Man City over Sterling transfer,"Chelsea are preparing a move for Raheem Sterling after making contact with Manchester City over the forward, GOAL understands.  Thomas Tuchel is understood to want the England international with striker Romelu Lukaku set to rejoin Inter on loan with doubts remaining over the futures of Hakim Ziyech and Christian Pulisic.  No formal bid has yet been made for the 27-year-old, who has 12 months remaining on his current City contract, but he is likely to cost more than the £45 million ($55m) Arsenal are set to pay for Gabriel Jesus.  The England international has yet to say publicly whether he would be open to a move although he is understood to want more game time after slipping down the pecking order at City.  Sterling played more minutes as an attacker than any other City forward last season but competition will increase with the arrival of Erling Haaland, although Jesus will complete his move to the Gunners soon.  He was left out of the starting line-up for a number of big games last season, including both Champions League semi-final legs against Real Madrid and the final day victory over Aston Villa.  Sterling has revealed in the past a desire to play abroad at some point in his career and Real Madrid and Barcelona have shown interest in him before.  After the disastrous spell of club record signing Lukaku, Chelsea are looking at refreshing their squad.  Antonio Rudiger and Andreas Christensen have already left with several big names expected to follow.  Sterling would be Chelsea's first major signing since they were taken over by a consortium led by Todd Boehly in May.  He will lead any negotiations after being confirmed as Chelsea's interim sporting director following the departure of Marina Granovskaia.",Football,Rumor,False,43855,https://assets.goal.com/images/v3/bltfb6f38cc4b3f244c/crop/MM5DQMZSHI2DMOB2NZXXOZJ2GA5DCNBU/edbf74cc-d9bf-4d9b-95dc-895d79202da4.png
Beckham to Lampard - Famous football stars who were spotted at Wimbledon,"It is that time of the year when football is on a break with clubs and players preparing for the new season which gets underway in August.   As it is, the United Kingdom is currently hit with Tennis fever with the ongoing Wimbledon, the most prestigious Grand Slam, attracting eyeballs.  It is very common to see celebrities from all spheres of life attend Wimbledon matches and footballers, past and present, are no exceptions.  From David Beckham to Jurgen Klopp and Jose Mourinho, many football personalities have attended Wimbledon in the past. Beckham has been a regular attendee and is regularly seen enjoying the tennis at the All England Club. He was spotted this year as well, during Rafael Nadal's quarter-final victory over Taylor Fritz. Other than Beckham, many others from the footballing world have also been spotted.  Let us take a look at the footballing stars who were seen at Wimbledon.",Football,Update,False,25202,https://assets.goal.com/images/v3/getty-2242836738/crop/MM5DIOBZGY5DENZVGQ5G433XMU5DAORRGA3A====/GettyImages-2242836738.jpg?width=1400&upscale=true
"Coutinho drawing interest from Aston Villa, Everton & Liverpool","Barcelona midfielder Philippe Coutinho is drawing strong interest from England, with Aston Villa, Everton and Liverpool interested, GOAL can confirm. Coutinho would rather move back to England than head to his home of Brazil, and while no formal offer has been made, it seems direct conversations are ahead. The Blaugrana, meanwhile, are eager to offload the player to clear wages as they try to register Ferran Torres and set up other moves. The 29-year-old is starved for playing time having started just 13 matches over the past two league campaigns, while his club is ready to move on to other attacking midfield options as it clears salary from its books. England would provide a familiar home and the chance to resurrect his career. A move back to Brazil is not viable at this moment because of Coutinho's football objectives and wage demands. Aston Villa, Everton and Liverpool would all provide storyline destinations for the player. Former team-mate Steven Gerrard coaches at Villa, while a return to Merseyside would be emotional for all involved.",Football,Rumor,False,48164,https://assets.goal.com/images/v3/bltd360d085cefe1187/real%20madrid%20juventus%20(1).jpg?auto=webp&format=pjpg&width=3840&quality=60
